energy,tempo,instrumentalness,acousticness,valence,label
0.509,170.117,0.891,0.683,0.374,Seeker
0.665,178.064,0.596,0.0352,0.399,Seeker
0.733,167.935,0.809,0.676,0.377,Seeker
0.672,173.954,0.79,0.302,0.584,Seeker
0.729,154.28,0.833,0.0134,0.415,Seeker
0.682,168.385,0.907,0.0422,0.397,Seeker
0.481,147.327,0.821,0.0266,0.451,Seeker
0.604,152.474,0.496,0.12,0.553,Seeker
0.581,171.961,0.661,0.201,0.338,Seeker
0.468,154.626,0.928,0.867,0.352,Seeker
0.405,188.31,0.824,0.146,0.303,Seeker
0.405,165.18,0.965,0.839,0.478,Seeker
0.61,150.861,0.897,0.738,0.485,Seeker
0.477,171.424,0.922,0.165,0.46,Seeker
0.545,54.669,0.891,1.5e-06,0.438,Seeker
0.63,65.546,0.876,0.299,0.328,Seeker
0.464,170.047,0.803,0.425,0.313,Seeker
0.497,140.002,0.932,0.302,0.343,Seeker
0.511,153.028,0.878,0.098,0.447,Seeker
0.488,159.819,0.689,0.158,0.436,Seeker
0.416,172.669,0.896,0.925,0.418,Seeker
0.71,145.928,0.537,0.262,0.53,Seeker
0.587,158.057,0.51,0.0546,0.426,Seeker
0.737,219.693,0.767,5.12e-05,0.342,Seeker
0.558,171.827,0.916,0.171,0.539,Seeker
0.735,145.096,0.782,0.000797,0.552,Seeker
0.747,173.052,0.557,0.00887,0.414,Seeker
0.593,143.782,0.678,0.00348,0.588,Seeker
0.41,148.026,0.841,0.211,0.505,Seeker
0.65,172.043,0.891,0.000742,0.594,Seeker
0.607,170.018,0.761,0.307,0.356,Seeker
0.687,140.221,0.947,0.00347,0.567,Seeker
0.601,194.03,0.832,0.117,0.504,Seeker
0.401,175.983,0.902,0.336,0.574,Seeker
0.66,147.898,0.951,0.187,0.349,Seeker
0.519,190.051,0.944,0.0271,0.478,Seeker
0.58,176.03,0.846,0.000271,0.529,Seeker
0.74,170.098,0.849,0.0352,0.419,Seeker
0.49,169.999,0.937,0.941,0.352,Seeker
0.407,165.862,0.455,0.783,0.318,Seeker
0.486,169.945,0.916,0.973,0.519,Seeker
0.416,67.202,0.856,0.925,0.468,Seeker
0.553,178.113,0.719,0.906,0.369,Seeker
0.67,180.041,0.419,0.0276,0.591,Seeker
0.435,148.874,0.923,0.826,0.537,Seeker
0.708,147.957,0.429,0.00522,0.518,Seeker
0.628,163.943,0.911,0.00226,0.596,Seeker
0.536,143.831,0.719,0.0015,0.356,Seeker
0.662,177.018,0.817,0.106,0.532,Seeker
0.662,140.046,0.58,0.00185,0.326,Seeker
0.741,156.018,0.904,0.102,0.397,Seeker
0.75,140.079,0.963,0.0878,0.406,Seeker
0.715,184.014,0.945,0.0971,0.448,Seeker
0.7,160.058,0.59,0.0236,0.357,Seeker
0.544,168.214,0.912,0.121,0.326,Seeker
0.584,67.96,0.775,0.000411,0.56,Seeker
0.458,142.999,0.764,0.0692,0.489,Seeker
0.593,155.011,0.851,0.0733,0.52,Seeker
0.747,148.262,0.886,0.00967,0.306,Seeker
0.457,201.945,0.897,0.0372,0.516,Seeker
0.611,143.489,0.956,0.063,0.557,Seeker
0.453,140.023,0.837,0.000403,0.568,Seeker
0.529,144.817,0.905,0.0259,0.503,Seeker
0.474,148.093,0.717,0.07,0.434,Seeker
0.521,179.894,0.854,0.435,0.337,Seeker
0.614,155.658,0.403,0.0904,0.47,Seeker
0.72,173.996,0.758,0.00112,0.342,Seeker
0.747,174.056,0.932,0.000699,0.474,Seeker
0.72,173.989,0.867,0.0131,0.435,Seeker
0.726,173.998,0.51,0.114,0.315,Seeker
0.485,168.753,0.912,0.00158,0.475,Seeker
0.744,174.962,0.938,0.00272,0.424,Seeker
0.68,173.974,0.681,0.00075,0.439,Seeker
0.655,170.01,0.717,0.00254,0.475,Seeker
0.716,179.989,0.737,0.305,0.542,Seeker
0.729,191.928,0.952,0.289,0.376,Seeker
0.505,190.41,0.596,0.782,0.352,Seeker
0.621,160.011,0.879,0.00109,0.549,Seeker
0.538,160.075,0.401,0.0483,0.355,Seeker
0.497,144.972,0.782,0.723,0.401,Seeker
0.488,144.977,0.779,0.741,0.396,Seeker
0.509,153.563,0.784,0.738,0.37,Seeker
0.527,157.536,0.894,0.385,0.352,Seeker
0.662,169.926,0.908,0.00197,0.554,Seeker
0.571,146.051,0.923,0.306,0.6,Seeker
0.503,144.035,0.809,0.00583,0.38,Seeker
0.64,149.709,0.724,0.157,0.367,Seeker
0.738,155.858,0.965,0.507,0.462,Seeker
0.409,143.168,0.987,0.694,0.505,Seeker
0.706,149.775,0.922,0.086,0.43,Seeker
0.734,149.973,0.896,0.356,0.396,Seeker
0.695,170.684,0.893,0.176,0.481,Seeker
0.665,153.977,0.968,0.54,0.566,Seeker
0.647,140.009,0.407,0.0254,0.426,Seeker
0.692,153.47,0.678,0.0131,0.552,Seeker
0.507,140.024,0.518,0.102,0.519,Seeker
0.485,184.031,0.513,0.00757,0.307,Seeker
0.63,140.331,0.733,2.72e-06,0.307,Seeker
0.588,177.018,0.712,0.00213,0.305,Seeker
0.592,161.15,0.684,6.92e-05,0.517,Seeker
0.489,203.953,0.821,0.58,0.418,Seeker
0.402,149.425,0.944,0.74,0.354,Seeker
0.51,140.259,0.885,0.948,0.444,Seeker
0.525,170.814,0.824,0.0028,0.319,Seeker
0.49,159.61,0.83,0.901,0.401,Seeker
0.482,175.822,0.938,0.514,0.38,Seeker
0.466,167.884,0.904,0.333,0.405,Seeker
0.508,177.591,0.867,0.656,0.464,Seeker
0.546,145.65,0.795,0.95,0.36,Seeker
0.444,140.859,0.887,0.0542,0.364,Seeker
0.716,167.524,0.515,0.13,0.414,Seeker
0.634,190.018,0.851,0.00299,0.411,Seeker
0.453,155.031,0.9,0.0386,0.518,Seeker
0.653,167.82,0.533,0.0353,0.363,Seeker
0.633,174.076,0.896,0.0742,0.341,Seeker
0.668,157.906,0.471,0.00135,0.591,Seeker
0.725,182.364,0.607,0.000209,0.422,Seeker
0.715,143.067,0.641,0.00179,0.309,Seeker
0.738,143.006,0.839,0.000194,0.497,Seeker
0.594,144.99,0.705,0.00032,0.336,Seeker
0.74,150.01,0.936,0.00226,0.322,Seeker
0.722,141.347,0.879,0.000854,0.376,Seeker
0.711,165.834,0.503,0.152,0.5,Seeker
0.67,170.003,0.95,0.328,0.452,Seeker
0.62,140.009,0.886,0.635,0.378,Seeker
0.416,152.004,0.897,0.865,0.398,Seeker
0.47,162.769,0.951,0.942,0.425,Seeker
0.734,145.867,0.932,0.127,0.447,Seeker
0.679,160.025,0.975,0.254,0.526,Seeker
0.533,159.95,0.833,0.829,0.303,Seeker
0.613,159.88,0.842,0.476,0.317,Seeker
0.682,146.005,0.859,0.22,0.336,Seeker
0.58,140.076,0.835,0.0119,0.552,Seeker
0.565,141.019,0.838,0.624,0.334,Seeker
0.564,187.433,0.896,0.769,0.489,Seeker
0.662,160.035,0.806,0.166,0.542,Seeker
0.423,140.038,0.92,0.812,0.572,Seeker
0.655,140.021,0.875,0.0123,0.334,Seeker
0.656,159.997,0.859,0.426,0.494,Seeker
0.632,140.039,0.868,0.0112,0.341,Seeker
0.648,160.058,0.842,0.257,0.446,Seeker
0.712,179.442,0.488,0.252,0.388,Seeker
0.724,140.992,0.633,0.13,0.44,Seeker
0.603,150.055,0.943,0.42,0.482,Seeker
0.461,201.97,0.861,0.667,0.498,Seeker
0.625,162.491,0.793,0.35,0.572,Seeker
0.574,148.032,0.87,0.158,0.544,Seeker
0.406,172.021,0.878,0.0103,0.447,Seeker
0.552,164.997,0.886,0.756,0.342,Seeker
0.652,179.097,0.894,0.708,0.31,Seeker
0.486,171.864,0.725,0.166,0.353,Seeker
0.702,149.998,0.927,0.0172,0.592,Seeker
0.717,171.988,0.819,0.00305,0.44,Seeker
0.636,142.665,0.757,0.139,0.455,Seeker
0.704,173.103,0.696,0.00113,0.391,Seeker
0.641,141.442,0.922,3.06e-06,0.361,Seeker
0.722,140.02,0.741,0.0243,0.429,Seeker
0.748,150.048,0.889,0.00411,0.352,Seeker
0.45,160.245,0.9,0.574,0.313,Seeker
0.634,179.897,0.964,9.97e-06,0.359,Seeker
0.572,166.297,0.845,0.711,0.424,Seeker
0.499,161.36,0.977,0.136,0.46,Seeker
0.441,143.52,0.467,0.836,0.328,Seeker
0.72,149.97,0.9,0.0658,0.36,Seeker
0.677,180.049,0.532,0.00333,0.358,Seeker
0.503,163.094,0.411,0.069,0.31,Seeker
0.682,159.23,0.598,0.00152,0.396,Seeker
0.677,172.812,0.871,0.00108,0.371,Seeker
0.732,172.034,0.91,0.353,0.308,Seeker
0.709,156.038,0.766,0.0216,0.443,Seeker
0.647,165.987,0.934,0.782,0.531,Seeker
0.534,159.963,0.891,0.751,0.459,Seeker
0.6,180.096,0.801,0.125,0.331,Seeker
0.535,148.031,0.894,0.872,0.594,Seeker
0.562,150.028,0.864,0.479,0.425,Seeker
0.502,62.983,0.755,0.0719,0.598,Seeker
0.666,146.006,0.949,0.606,0.328,Seeker
0.459,145.077,0.861,0.973,0.511,Seeker
0.563,179.655,0.777,0.0115,0.368,Seeker
0.683,171.809,0.442,0.00697,0.596,Seeker
0.495,179.836,0.87,0.946,0.461,Seeker
0.611,157.84,0.766,0.266,0.508,Seeker
0.703,142.019,0.921,0.00114,0.309,Seeker
0.672,150.587,0.936,0.197,0.505,Seeker
0.499,174.608,0.73,0.0558,0.516,Seeker
0.618,144.724,0.616,0.00137,0.567,Seeker
0.567,163.057,0.681,0.0529,0.518,Seeker
0.674,174.162,0.419,0.00644,0.414,Seeker
0.583,159.939,0.896,0.235,0.372,Seeker
0.562,144.96,0.639,0.114,0.432,Seeker
0.555,172.172,0.849,0.28,0.478,Seeker
0.476,166.031,0.819,0.883,0.336,Seeker
0.446,153.992,0.89,0.244,0.562,Seeker
0.424,171.44,0.816,0.0199,0.311,Seeker
0.569,184.292,0.91,0.509,0.335,Seeker
0.668,174.061,0.887,0.427,0.315,Seeker
0.418,170.016,0.923,0.0887,0.451,Seeker
0.422,151.45,0.87,0.0125,0.344,Seeker
0.474,148.406,0.785,0.114,0.499,Seeker
0.404,175.578,0.743,0.867,0.343,Seeker
0.447,155.999,0.907,0.385,0.3,Seeker
0.586,180.083,0.885,0.28,0.536,Seeker
0.511,195.202,0.804,0.826,0.399,Seeker
0.423,155.994,0.939,0.395,0.469,Seeker
0.557,191.796,0.805,0.0687,0.536,Seeker
0.462,174.081,0.826,0.811,0.574,Seeker
0.613,173.935,0.603,0.0344,0.434,Seeker
0.654,67.392,0.865,0.418,0.573,Seeker
0.678,145.997,0.922,0.713,0.448,Seeker
0.485,160.015,0.755,0.786,0.332,Seeker
0.666,174.04,0.873,0.0461,0.461,Seeker
0.504,62.977,0.918,0.877,0.512,Seeker
0.452,159.965,0.923,0.672,0.361,Seeker
0.492,184.126,0.839,0.0783,0.31,Seeker
0.462,180.008,0.916,0.345,0.586,Seeker
0.463,166.072,0.843,0.558,0.341,Seeker
0.562,154.999,0.837,0.648,0.384,Seeker
0.489,160.028,0.939,0.5,0.47,Seeker
0.581,173.955,0.941,0.864,0.502,Seeker
0.541,189.99,0.401,0.00849,0.428,Seeker
0.474,160.052,0.945,0.659,0.489,Seeker
0.519,170.068,0.968,0.277,0.326,Seeker
0.439,194.09,0.684,0.0145,0.4,Seeker
0.419,179.977,0.874,0.332,0.358,Seeker
0.543,183.527,0.646,0.976,0.52,Seeker
0.506,178.015,0.949,0.113,0.503,Seeker
0.47,170.068,0.813,0.00828,0.558,Seeker
0.545,172.195,0.932,0.337,0.394,Seeker
0.642,141.913,0.776,0.0586,0.539,Seeker
0.686,175.957,0.751,0.0169,0.568,Seeker
0.675,156.018,0.91,0.453,0.442,Seeker
0.742,143.954,0.937,0.634,0.37,Seeker
0.56,156.65,0.924,0.379,0.336,Seeker
0.69,150.076,0.88,0.00437,0.314,Seeker
0.629,183.949,0.677,0.0206,0.416,Seeker
0.719,147.935,0.462,0.000633,0.381,Seeker
0.737,172.022,0.762,0.000105,0.499,Seeker
0.59,144.832,0.597,0.201,0.559,Seeker
0.403,175.869,0.803,0.714,0.582,Seeker
0.71,140.011,0.653,0.0095,0.341,Seeker
0.417,148.193,0.75,0.3,0.319,Seeker
0.732,150.025,0.502,0.00584,0.493,Seeker
0.73,145.056,0.535,0.00643,0.306,Seeker
0.732,145.0,0.879,0.0587,0.375,Seeker
0.601,150.049,0.706,0.177,0.335,Seeker
0.411,142.074,0.837,0.0087,0.323,Seeker
0.593,140.024,0.832,0.107,0.3,Seeker
0.535,144.996,0.822,0.0109,0.306,Seeker
0.712,141.989,0.841,0.000707,0.571,Seeker
0.595,150.025,0.92,0.00635,0.322,Seeker
0.631,149.991,0.897,0.000601,0.589,Seeker
0.455,168.081,0.757,0.00575,0.44,Seeker
0.659,183.815,0.859,0.502,0.46,Seeker
0.591,188.1,0.802,0.229,0.587,Seeker
0.643,165.115,0.583,0.242,0.534,Seeker
0.621,164.447,0.894,0.0197,0.5,Seeker
0.661,174.619,0.878,0.0182,0.355,Seeker
0.557,179.798,0.81,0.351,0.396,Seeker
0.517,156.043,0.753,0.117,0.376,Seeker
0.738,192.969,0.941,0.324,0.454,Seeker
0.596,171.238,0.95,0.101,0.301,Seeker
0.625,174.552,0.88,0.0131,0.375,Seeker
0.729,171.93,0.924,0.0122,0.536,Seeker
0.517,170.032,0.936,0.785,0.314,Seeker
0.56,140.118,0.964,0.913,0.596,Seeker
0.495,156.454,0.77,0.0687,0.446,Seeker
0.447,165.051,0.826,0.0743,0.377,Seeker
0.539,140.015,0.795,0.178,0.475,Seeker
0.541,142.011,0.861,0.0329,0.439,Seeker
0.443,179.943,0.894,0.00858,0.301,Seeker
