energy,tempo,instrumentalness,acousticness,danceability,valence,label
0.282,96.638,0.833,0.983,0.616,0.435,Stargazer
0.287,80.64,0.961,0.969,0.739,0.557,Stargazer
0.356,81.032,0.917,0.954,0.547,0.504,Stargazer
0.427,99.648,0.905,0.804,0.589,0.376,Stargazer
0.254,81.484,0.931,0.962,0.549,0.541,Stargazer
0.386,80.833,0.906,0.67,0.647,0.491,Stargazer
0.198,60.402,0.852,0.397,0.63,0.342,Stargazer
0.126,72.702,0.942,0.995,0.509,0.34,Stargazer
0.0406,88.027,0.964,0.557,0.525,0.31,Stargazer
0.415,74.989,0.886,0.442,0.701,0.326,Stargazer
0.262,75.082,0.854,0.548,0.733,0.393,Stargazer
0.108,74.998,0.828,0.898,0.572,0.469,Stargazer
0.138,80.028,0.942,0.949,0.792,0.434,Stargazer
0.117,68.845,0.926,0.979,0.627,0.382,Stargazer
0.385,92.007,0.902,0.795,0.784,0.44,Stargazer
0.315,75.013,0.858,0.365,0.698,0.306,Stargazer
0.172,88.022,0.678,0.813,0.55,0.392,Stargazer
0.248,79.973,0.871,0.808,0.826,0.324,Stargazer
0.383,74.988,0.952,0.715,0.753,0.327,Stargazer
0.22,80.02,0.902,0.909,0.715,0.477,Stargazer
0.203,79.998,0.837,0.502,0.604,0.454,Stargazer
0.366,84.998,0.907,0.837,0.76,0.317,Stargazer
0.173,69.999,0.972,0.941,0.592,0.433,Stargazer
0.151,90.009,0.929,0.856,0.732,0.339,Stargazer
0.0961,67.021,0.944,0.812,0.568,0.344,Stargazer
0.257,79.999,0.91,0.84,0.779,0.54,Stargazer
0.384,77.823,0.575,0.861,0.594,0.462,Stargazer
0.402,88.643,0.814,0.623,0.653,0.453,Stargazer
0.412,79.512,0.934,0.807,0.548,0.325,Stargazer
0.264,90.048,0.694,0.552,0.53,0.489,Stargazer
0.346,83.912,0.935,0.839,0.71,0.364,Stargazer
0.278,79.022,0.84,0.743,0.653,0.593,Stargazer
0.368,95.098,0.939,0.733,0.722,0.433,Stargazer
0.263,67.001,0.793,0.904,0.642,0.394,Stargazer
0.0679,75.004,0.887,0.987,0.615,0.313,Stargazer
0.446,80.009,0.694,0.545,0.788,0.545,Stargazer
0.198,89.988,0.655,0.883,0.639,0.345,Stargazer
0.186,86.383,0.934,0.686,0.691,0.548,Stargazer
0.162,86.98,0.94,0.81,0.789,0.434,Stargazer
0.133,69.997,0.808,0.875,0.79,0.422,Stargazer
0.456,80.974,0.895,0.279,0.67,0.589,Stargazer
0.207,79.978,0.941,0.881,0.569,0.36,Stargazer
0.323,75.955,0.942,0.897,0.691,0.382,Stargazer
0.3,74.971,0.655,0.927,0.563,0.38,Stargazer
0.158,97.567,0.922,0.964,0.75,0.507,Stargazer
0.117,68.845,0.926,0.979,0.627,0.382,Stargazer
0.399,78.893,0.571,0.949,0.633,0.466,Stargazer
0.292,80.002,0.927,0.857,0.674,0.581,Stargazer
0.194,75.981,0.808,0.973,0.615,0.589,Stargazer
0.412,79.512,0.934,0.807,0.548,0.325,Stargazer
0.194,75.981,0.808,0.973,0.615,0.589,Stargazer
0.194,75.981,0.808,0.973,0.615,0.589,Stargazer
0.148,74.423,0.921,0.965,0.596,0.488,Stargazer
0.13,61.913,0.699,0.996,0.552,0.356,Stargazer
0.0489,97.303,0.949,0.964,0.514,0.453,Stargazer
0.042,82.314,0.968,0.976,0.661,0.575,Stargazer
0.177,96.075,0.917,0.963,0.57,0.515,Stargazer
0.042,82.314,0.968,0.976,0.661,0.575,Stargazer
0.0489,97.303,0.949,0.964,0.514,0.453,Stargazer
0.143,93.772,0.814,0.985,0.511,0.396,Stargazer
0.22,93.46,0.938,0.964,0.638,0.452,Stargazer
0.0308,72.88,0.915,0.995,0.502,0.312,Stargazer
0.177,96.075,0.917,0.963,0.57,0.515,Stargazer
0.042,82.314,0.968,0.976,0.661,0.575,Stargazer
0.232,93.436,0.923,0.962,0.644,0.442,Stargazer
0.177,96.075,0.917,0.963,0.57,0.515,Stargazer
0.199,92.138,0.939,0.995,0.519,0.581,Stargazer
0.46,93.01,0.777,0.392,0.716,0.59,Stargazer
0.316,96.393,0.746,0.434,0.808,0.315,Stargazer
0.00841,77.455,0.908,0.993,0.527,0.335,Stargazer
0.0548,92.128,0.922,0.992,0.72,0.301,Stargazer
0.00879,82.694,0.959,0.996,0.529,0.51,Stargazer
0.316,96.393,0.746,0.434,0.808,0.315,Stargazer
0.0363,68.091,0.908,0.995,0.727,0.535,Stargazer
0.0501,71.082,0.859,0.99,0.519,0.502,Stargazer
0.0386,91.838,0.895,0.995,0.61,0.337,Stargazer
0.0249,91.957,0.907,0.995,0.685,0.359,Stargazer
0.316,96.393,0.746,0.434,0.808,0.315,Stargazer
0.0233,92.337,0.922,0.993,0.64,0.327,Stargazer
0.325,67.528,0.904,0.994,0.523,0.399,Stargazer
0.316,96.393,0.746,0.434,0.808,0.315,Stargazer
0.0785,87.792,0.931,0.994,0.507,0.432,Stargazer
0.0312,60.404,0.923,0.994,0.734,0.306,Stargazer
0.0132,61.955,0.95,0.993,0.854,0.316,Stargazer
0.0996,93.876,0.948,0.989,0.737,0.52,Stargazer
0.0934,99.907,0.941,0.978,0.671,0.508,Stargazer
0.0179,86.957,0.967,0.993,0.676,0.437,Stargazer
0.0712,89.966,0.882,0.988,0.782,0.574,Stargazer
0.174,87.959,0.897,0.913,0.67,0.483,Stargazer
0.373,85.016,0.525,0.341,0.765,0.554,Stargazer
0.422,74.035,0.862,0.976,0.551,0.312,Stargazer
0.461,83.573,0.796,0.705,0.533,0.573,Stargazer
0.196,98.637,0.932,0.89,0.751,0.405,Stargazer
0.15,87.956,0.735,0.974,0.554,0.314,Stargazer
0.441,82.007,0.905,0.856,0.801,0.49,Stargazer
0.351,87.057,0.819,0.516,0.665,0.451,Stargazer
0.458,93.561,0.945,0.89,0.664,0.571,Stargazer
0.437,82.106,0.839,0.923,0.526,0.455,Stargazer
0.306,91.763,0.826,0.953,0.66,0.491,Stargazer
0.255,82.729,0.693,0.921,0.606,0.352,Stargazer
0.392,76.03,0.926,0.857,0.652,0.407,Stargazer
0.0216,63.85,0.884,0.995,0.587,0.363,Stargazer
0.15,87.956,0.735,0.974,0.554,0.314,Stargazer
0.287,80.64,0.961,0.969,0.739,0.557,Stargazer
0.0821,87.379,0.937,0.99,0.636,0.463,Stargazer
0.183,83.481,0.929,0.994,0.631,0.399,Stargazer
0.147,73.995,0.942,0.947,0.799,0.537,Stargazer
0.357,79.981,0.691,0.669,0.743,0.447,Stargazer
0.268,98.851,0.952,0.981,0.511,0.337,Stargazer
0.428,94.111,0.938,0.468,0.688,0.312,Stargazer
0.245,88.664,0.889,0.956,0.534,0.34,Stargazer
0.241,67.435,0.522,0.992,0.598,0.328,Stargazer
0.127,80.072,0.908,0.927,0.679,0.44,Stargazer
0.164,80.065,0.946,0.97,0.593,0.327,Stargazer
0.407,98.028,0.907,0.516,0.874,0.518,Stargazer
0.236,75.985,0.918,0.971,0.623,0.307,Stargazer
0.332,95.213,0.808,0.345,0.691,0.375,Stargazer
0.185,80.658,0.917,0.891,0.524,0.434,Stargazer
0.114,92.249,0.902,0.991,0.53,0.369,Stargazer
0.385,81.548,0.905,0.286,0.564,0.418,Stargazer
0.15,83.865,0.924,0.482,0.608,0.519,Stargazer
0.189,76.141,0.871,0.927,0.622,0.368,Stargazer
0.396,89.999,0.866,0.979,0.65,0.303,Stargazer
0.252,84.828,0.859,0.944,0.529,0.317,Stargazer
0.0874,88.783,0.926,0.954,0.519,0.595,Stargazer
0.418,85.626,0.802,0.714,0.556,0.528,Stargazer
0.417,95.12,0.711,0.34,0.507,0.468,Stargazer
0.399,89.06,0.881,0.557,0.705,0.44,Stargazer
0.162,97.041,0.935,0.97,0.505,0.341,Stargazer
0.193,98.95,0.909,0.958,0.688,0.448,Stargazer
0.417,90.022,0.926,0.686,0.766,0.595,Stargazer
0.451,90.063,0.919,0.435,0.8,0.394,Stargazer
0.322,80.0,0.805,0.897,0.708,0.538,Stargazer
0.252,79.985,0.853,0.923,0.835,0.434,Stargazer
0.239,97.545,0.845,0.829,0.631,0.506,Stargazer
0.352,81.92,0.942,0.656,0.522,0.584,Stargazer
0.217,84.532,0.555,0.895,0.509,0.479,Stargazer
0.137,87.416,0.797,0.927,0.585,0.434,Stargazer
0.44,90.782,0.895,0.719,0.538,0.407,Stargazer
0.366,75.008,0.951,0.774,0.609,0.494,Stargazer
0.242,95.759,0.94,0.996,0.7,0.586,Stargazer
0.184,81.245,0.937,0.442,0.607,0.475,Stargazer
0.412,79.512,0.934,0.807,0.548,0.325,Stargazer
0.251,85.002,0.651,0.46,0.757,0.531,Stargazer
0.456,80.974,0.895,0.279,0.67,0.589,Stargazer
0.334,91.079,0.83,0.77,0.78,0.383,Stargazer
0.103,66.283,0.6,0.986,0.593,0.443,Stargazer
0.103,66.283,0.6,0.986,0.593,0.443,Stargazer
0.292,80.002,0.927,0.857,0.674,0.581,Stargazer
0.383,91.564,0.902,0.905,0.509,0.341,Stargazer
0.412,79.512,0.934,0.807,0.548,0.325,Stargazer
0.476,96.019,0.611,0.215,0.699,0.457,Stargazer
0.412,79.512,0.934,0.807,0.548,0.325,Stargazer
0.0555,71.086,0.944,0.995,0.676,0.388,Stargazer
0.47,76.305,0.681,0.529,0.517,0.324,Stargazer
0.169,77.084,0.841,0.808,0.511,0.326,Stargazer
0.357,77.009,0.809,0.62,0.524,0.303,Stargazer
0.056,75.761,0.963,0.992,0.504,0.337,Stargazer
0.0485,81.769,0.934,0.995,0.538,0.481,Stargazer
0.00579,79.681,0.939,0.992,0.631,0.332,Stargazer
0.161,73.436,0.945,0.992,0.586,0.331,Stargazer
0.00841,77.455,0.908,0.993,0.527,0.335,Stargazer
0.351,87.057,0.819,0.516,0.665,0.451,Stargazer
0.148,74.868,0.706,0.807,0.503,0.521,Stargazer
0.289,93.314,0.88,0.843,0.655,0.432,Stargazer
0.236,87.101,0.789,0.995,0.519,0.461,Stargazer
0.198,89.988,0.655,0.883,0.639,0.345,Stargazer
0.133,69.997,0.808,0.875,0.79,0.422,Stargazer
0.399,78.893,0.571,0.949,0.633,0.466,Stargazer
0.158,97.567,0.922,0.964,0.75,0.507,Stargazer
0.15,87.956,0.735,0.974,0.554,0.314,Stargazer
0.15,87.956,0.735,0.974,0.554,0.314,Stargazer
0.05,62.808,0.943,0.88,0.664,0.304,Stargazer
0.347,85.019,0.919,0.285,0.743,0.393,Stargazer
0.405,97.008,0.643,0.234,0.779,0.591,Stargazer
0.263,80.014,0.786,0.576,0.797,0.379,Stargazer
0.329,84.002,0.828,0.4,0.704,0.597,Stargazer
0.32,89.973,0.687,0.829,0.691,0.407,Stargazer
0.117,70.02,0.79,0.735,0.644,0.372,Stargazer
0.36,84.896,0.95,0.926,0.681,0.417,Stargazer
0.105,79.986,0.933,0.923,0.636,0.396,Stargazer
0.484,87.02,0.916,0.722,0.799,0.552,Stargazer
0.447,89.981,0.787,0.875,0.696,0.461,Stargazer
0.189,79.115,0.906,0.817,0.633,0.435,Stargazer
0.376,83.015,0.711,0.494,0.722,0.365,Stargazer
0.349,75.039,0.766,0.597,0.806,0.561,Stargazer
0.233,82.999,0.937,0.735,0.749,0.47,Stargazer
0.407,82.505,0.853,0.424,0.697,0.381,Stargazer
0.435,79.918,0.944,0.335,0.691,0.403,Stargazer
0.167,90.008,0.782,0.826,0.846,0.335,Stargazer
0.432,78.035,0.803,0.933,0.718,0.395,Stargazer
0.343,85.002,0.82,0.848,0.694,0.33,Stargazer
0.494,80.019,0.649,0.696,0.692,0.428,Stargazer
0.205,85.2,0.89,0.398,0.781,0.586,Stargazer
0.245,75.005,0.826,0.667,0.765,0.434,Stargazer
0.248,79.996,0.512,0.51,0.746,0.415,Stargazer
0.33,63.935,0.81,0.445,0.576,0.37,Stargazer
0.389,79.98,0.829,0.44,0.647,0.312,Stargazer
0.237,78.962,0.955,0.899,0.603,0.318,Stargazer
0.306,79.99,0.916,0.943,0.699,0.306,Stargazer
0.428,87.996,0.907,0.763,0.602,0.481,Stargazer
0.199,74.939,0.816,0.982,0.569,0.459,Stargazer
0.236,82.999,0.93,0.685,0.707,0.3,Stargazer
0.306,90.013,0.859,0.358,0.8,0.559,Stargazer
0.254,77.027,0.938,0.904,0.687,0.38,Stargazer
0.237,84.917,0.884,0.601,0.794,0.446,Stargazer
0.279,80.008,0.962,0.835,0.751,0.379,Stargazer
0.314,99.875,0.929,0.892,0.622,0.406,Stargazer
0.446,90.019,0.864,0.564,0.78,0.507,Stargazer
0.343,85.05,0.831,0.913,0.775,0.461,Stargazer
0.435,80.375,0.866,0.862,0.639,0.342,Stargazer
0.321,69.926,0.907,0.485,0.618,0.492,Stargazer
0.285,90.052,0.81,0.797,0.794,0.6,Stargazer
0.401,86.995,0.889,0.625,0.65,0.435,Stargazer
0.183,79.295,0.88,0.97,0.673,0.597,Stargazer
0.424,85.034,0.916,0.39,0.752,0.375,Stargazer
0.158,84.031,0.848,0.953,0.649,0.425,Stargazer
0.469,96.996,0.944,0.306,0.727,0.591,Stargazer
0.443,88.984,0.506,0.807,0.665,0.526,Stargazer
0.429,86.979,0.925,0.81,0.858,0.374,Stargazer
0.284,83.008,0.91,0.63,0.643,0.428,Stargazer
0.309,97.048,0.824,0.257,0.739,0.409,Stargazer
0.43,79.996,0.868,0.277,0.66,0.309,Stargazer
0.145,85.03,0.928,0.879,0.802,0.332,Stargazer
0.218,75.093,0.781,0.401,0.79,0.496,Stargazer
0.321,92.419,0.772,0.543,0.838,0.514,Stargazer
0.0663,75.004,0.887,0.641,0.77,0.331,Stargazer
0.394,90.056,0.896,0.952,0.639,0.42,Stargazer
0.458,75.854,0.826,0.657,0.64,0.354,Stargazer
0.19,78.094,0.899,0.976,0.534,0.331,Stargazer
0.436,80.026,0.868,0.755,0.61,0.537,Stargazer
0.301,82.018,0.913,0.827,0.711,0.422,Stargazer
0.481,79.988,0.935,0.471,0.621,0.324,Stargazer
0.181,90.005,0.926,0.583,0.768,0.542,Stargazer
0.313,79.961,0.847,0.398,0.752,0.359,Stargazer
0.292,84.033,0.926,0.651,0.695,0.392,Stargazer
0.386,86.039,0.891,0.203,0.613,0.51,Stargazer
0.163,70.001,0.913,0.912,0.688,0.545,Stargazer
0.169,77.997,0.842,0.941,0.768,0.372,Stargazer
0.304,86.112,0.841,0.394,0.778,0.426,Stargazer
0.377,84.136,0.788,0.542,0.685,0.597,Stargazer
0.252,77.025,0.895,0.287,0.879,0.515,Stargazer
0.268,86.997,0.934,0.831,0.77,0.371,Stargazer
0.203,90.023,0.808,0.615,0.714,0.352,Stargazer
0.244,74.983,0.917,0.821,0.569,0.435,Stargazer
0.139,80.009,0.695,0.576,0.757,0.533,Stargazer
0.494,91.97,0.873,0.399,0.837,0.465,Stargazer
0.249,91.895,0.794,0.906,0.903,0.475,Stargazer
0.449,87.992,0.866,0.458,0.704,0.355,Stargazer
0.357,94.007,0.824,0.703,0.758,0.352,Stargazer
0.383,69.993,0.838,0.364,0.771,0.373,Stargazer
0.314,79.994,0.904,0.744,0.671,0.346,Stargazer
0.232,89.964,0.899,0.944,0.792,0.455,Stargazer
0.384,84.98,0.863,0.781,0.713,0.504,Stargazer
0.202,89.991,0.915,0.682,0.729,0.356,Stargazer
0.375,70.09,0.822,0.666,0.777,0.493,Stargazer
0.362,93.008,0.94,0.364,0.745,0.525,Stargazer
0.451,87.997,0.845,0.519,0.738,0.345,Stargazer
0.124,89.078,0.865,0.651,0.673,0.424,Stargazer
0.208,81.989,0.898,0.571,0.742,0.341,Stargazer
0.317,71.866,0.503,0.914,0.618,0.336,Stargazer
0.337,91.964,0.957,0.812,0.602,0.551,Stargazer
0.188,82.985,0.541,0.714,0.822,0.374,Stargazer
0.261,85.009,0.934,0.638,0.83,0.341,Stargazer
0.407,79.974,0.895,0.699,0.587,0.513,Stargazer
0.43,89.538,0.654,0.384,0.74,0.345,Stargazer
0.42,84.941,0.831,0.42,0.755,0.589,Stargazer
0.386,61.991,0.858,0.781,0.743,0.362,Stargazer
0.238,90.018,0.851,0.55,0.747,0.488,Stargazer
0.358,79.989,0.906,0.808,0.738,0.433,Stargazer
0.4,88.983,0.508,0.554,0.756,0.568,Stargazer
0.252,75.006,0.903,0.93,0.715,0.395,Stargazer
0.186,79.96,0.784,0.833,0.712,0.437,Stargazer
0.425,83.679,0.899,0.375,0.67,0.504,Stargazer
0.296,80.938,0.689,0.917,0.574,0.337,Stargazer
0.445,90.016,0.867,0.96,0.684,0.547,Stargazer
0.339,99.988,0.925,0.768,0.826,0.54,Stargazer
0.317,79.998,0.882,0.6,0.795,0.403,Stargazer
0.298,75.06,0.867,0.837,0.518,0.434,Stargazer
0.339,75.003,0.916,0.95,0.697,0.488,Stargazer
0.333,92.998,0.684,0.89,0.676,0.454,Stargazer
0.289,77.133,0.89,0.474,0.772,0.526,Stargazer
0.491,83.003,0.919,0.899,0.597,0.398,Stargazer
0.301,85.024,0.923,0.765,0.746,0.312,Stargazer
0.2,74.873,0.856,0.933,0.58,0.335,Stargazer
0.229,89.999,0.919,0.85,0.78,0.48,Stargazer
0.396,87.614,0.8,0.749,0.549,0.591,Stargazer
0.216,89.012,0.932,0.962,0.76,0.415,Stargazer
0.359,92.024,0.862,0.679,0.687,0.499,Stargazer
0.483,89.957,0.911,0.392,0.567,0.543,Stargazer
0.0987,75.998,0.815,0.429,0.738,0.481,Stargazer
0.32,92.988,0.885,0.956,0.681,0.561,Stargazer
0.357,83.084,0.835,0.597,0.648,0.528,Stargazer
0.46,95.988,0.973,0.711,0.669,0.362,Stargazer
0.0414,79.985,0.929,0.748,0.792,0.418,Stargazer
0.419,90.057,0.759,0.925,0.73,0.562,Stargazer
0.483,89.957,0.911,0.392,0.567,0.543,Stargazer
0.397,79.971,0.95,0.499,0.641,0.344,Stargazer
0.193,68.016,0.807,0.784,0.718,0.411,Stargazer
0.361,79.969,0.941,0.968,0.588,0.462,Stargazer
0.364,82.984,0.861,0.741,0.699,0.358,Stargazer
0.34,75.009,0.782,0.299,0.717,0.516,Stargazer
0.289,81.059,0.76,0.38,0.528,0.403,Stargazer
0.0414,79.985,0.929,0.748,0.792,0.418,Stargazer
0.226,97.964,0.852,0.879,0.692,0.4,Stargazer
0.164,90.125,0.893,0.826,0.792,0.354,Stargazer
0.223,79.993,0.878,0.481,0.73,0.32,Stargazer
0.0816,65.035,0.935,0.748,0.71,0.47,Stargazer
0.27,85.93,0.917,0.329,0.667,0.416,Stargazer
0.383,94.559,0.816,0.792,0.804,0.594,Stargazer
0.459,90.028,0.822,0.287,0.822,0.521,Stargazer
0.493,84.966,0.909,0.933,0.711,0.527,Stargazer
0.494,93.758,0.88,0.846,0.816,0.403,Stargazer
0.293,94.999,0.88,0.753,0.739,0.474,Stargazer
0.223,80.018,0.946,0.955,0.73,0.562,Stargazer
0.424,82.024,0.885,0.66,0.692,0.405,Stargazer
0.43,92.943,0.731,0.246,0.591,0.359,Stargazer
0.475,78.16,0.932,0.519,0.534,0.487,Stargazer
0.42,79.992,0.696,0.748,0.765,0.374,Stargazer
0.308,74.996,0.919,0.596,0.656,0.334,Stargazer
0.413,75.01,0.877,0.78,0.747,0.442,Stargazer
0.318,78.01,0.93,0.542,0.787,0.353,Stargazer
0.15,87.956,0.735,0.974,0.554,0.314,Stargazer
0.256,95.013,0.626,0.375,0.72,0.467,Stargazer
0.448,99.513,0.826,0.756,0.561,0.429,Stargazer
0.277,65.403,0.645,0.995,0.772,0.58,Stargazer
0.372,75.955,0.909,0.975,0.516,0.353,Stargazer
0.397,81.794,0.787,0.927,0.603,0.473,Stargazer
0.499,87.989,0.936,0.732,0.525,0.338,Stargazer
0.466,91.193,0.725,0.45,0.752,0.399,Stargazer
0.299,90.016,0.839,0.751,0.667,0.382,Stargazer
0.467,94.417,0.685,0.849,0.707,0.419,Stargazer
0.33,95.907,0.877,0.535,0.716,0.39,Stargazer
0.478,93.01,0.922,0.795,0.588,0.314,Stargazer
0.477,97.012,0.783,0.633,0.701,0.491,Stargazer
0.42,77.012,0.673,0.52,0.74,0.372,Stargazer
0.341,79.502,0.679,0.26,0.775,0.504,Stargazer
0.236,92.033,0.856,0.391,0.702,0.559,Stargazer
0.206,75.057,0.9,0.992,0.509,0.342,Stargazer
0.0618,65.978,0.952,0.981,0.581,0.402,Stargazer
